start,count
"(971, 549, 406)","(44, 49, 58)"
"(764, 550, 2405)","(54, 52, 44)"
"(1138, 242, 1665)","(63, 50, 39)"
"(1375, 106, 325)","(56, 41, 53)"
"(1381, 356, 1295)","(61, 58, 35)"
"(1948, 616, 768)","(37, 78, 43)"
"(533, 466, 2616)","(33, 52, 72)"
"(1450, 540, 1606)","(41, 60, 51)"
"(1499, 275, 1192)","(35, 40, 87)"
"(1850, 265, 691)","(40, 67, 46)"
"(863, 206, 1086)","(35, 45, 79)"
"(1374, 339, 1373)","(69, 62, 29)"
"(863, 577, 1378)","(68, 28, 64)"
"(2488, 270, 1582)","(45, 37, 73)"
"(830, 338, 1708)","(53, 46, 51)"
"(1708, 359, 765)","(45, 41, 66)"
"(161, 406, 149)","(27, 66, 68)"
"(2022, 2, 3088)","(47, 59, 45)"
"(1623, 373, 716)","(64, 28, 68)"
"(1156, 594, 3024)","(59, 33, 64)"
"(209, 310, 2753)","(32, 46, 84)"
"(1418, 492, 2888)","(40, 93, 33)"
"(856, 198, 1168)","(41, 79, 38)"
"(954, 393, 1365)","(52, 48, 50)"
"(532, 473, 1543)","(70, 39, 46)"
"(1612, 856, 3328)","(47, 40, 67)"
"(1231, 180, 1580)","(78, 24, 66)"
"(920, 415, 1268)","(34, 76, 47)"
"(1642, 655, 1094)","(64, 45, 43)"
"(1568, 352, 1873)","(28, 75, 59)"
"(902, 635, 1448)","(32, 37, 106)"
"(1433, 390, 1670)","(58, 32, 66)"
"(1147, 241, 1673)","(36, 66, 53)"
"(1336, 497, 1391)","(38, 52, 62)"
"(433, 356, 2538)","(31, 49, 80)"
"(817, 374, 1206)","(40, 52, 60)"
"(969, 355, 1583)","(45, 40, 69)"
"(1294, 93, 1225)","(57, 42, 52)"
"(800, 707, 137)","(90, 50, 27)"
"(1131, 234, 1651)","(51, 64, 38)"
"(869, 316, 1105)","(52, 36, 67)"
"(629, 553, 2306)","(45, 59, 47)"
"(1950, 746, 832)","(57, 37, 58)"
"(963, 208, 1534)","(62, 32, 62)"
"(626, 733, 2167)","(47, 46, 57)"
"(2284, 175, 2288)","(34, 92, 39)"
"(321, 224, 1485)","(56, 69, 32)"
"(1661, 580, 1093)","(51, 76, 32)"
"(2263, 325, 334)","(45, 47, 58)"
"(510, 434, 1555)","(75, 24, 69)"
"(1258, 79, 107)","(31, 68, 58)"
"(820, 200, 1076)","(75, 35, 47)"
"(1750, 563, 741)","(37, 42, 79)"
"(1450, 328, 1755)","(56, 62, 36)"
"(148, 69, 1659)","(61, 37, 55)"
"(773, 341, 2050)","(58, 67, 32)"
